The Test Voltage will increment by in 5 mV in the data logger,,,,,,,,,,,
,,,,,,,,,,,
Enter G to start Test:,,,,,,,,,,,
,,,,,,,,,,,
 Voltage(Ideal) (mV), Voltage(Measured) (mV), VirtualGND (mV), VRef (mV), Calculated Gain,Percent Error,,,,,,
35,36.102,21.992,1034,18.143,3.148571429,,,,,,
35,35.991,21.903,1034,18.171,2.831428571,,,,,,
35,35.77,21.903,1034,18.171,2.2,,,,,,
35,36.224,22.146,1027,17.971,3.497142857,,,,,,
35,36.046,21.903,1034,18.171,2.988571429,,,,,,
35,33.789,21.903,1034,18.171,3.46,,,,,,
35,36.327,22.006,1031,18.086,3.791428571,,,,,,
35,35.881,21.903,1034,18.171,2.517142857,,,,,,
35,35.825,21.903,1034,18.171,2.357142857,,,,,,
35,34.116,20.75,1072,19.229,2.525714286,,,,,,
35,34.791,19.851,1050,19.143,0.597142857,,,,,,
35,35.994,22.082,1034,18.114,2.84,,,,,,
35,35.995,22.006,1031,18.086,2.842857143,,,,,,
35,35.55,21.903,1034,18.171,1.571428571,,,,,,
35,35.66,21.903,1034,18.171,1.885714286,,,,,,
35,35.803,20.336,1034,18.686,2.294285714,,,,,,
35,35.482,20.336,1034,18.686,1.377142857,,,,,,
35,35.991,21.903,1034,18.171,2.831428571,,,,,,
35,36.161,22.006,1031,18.086,3.317142857,,,,,,
35,35.452,23.54,1037,17.714,1.291428571,,,,,,
35,35.825,21.903,1034,18.171,2.357142857,,,,,,
35,34.725,22.967,1055,18.2,0.785714286,,,,,,
35,34.896,19.851,1050,19.143,0.297142857,,,,,,
35,34.893,21.365,1050,18.629,0.305714286,,,,,,
35,35.77,21.903,1034,18.171,2.2,,,,,,
35,35.774,22.006,1031,18.086,2.211428571,,,,,,
35,35.112,23.333,1045,17.914,0.32,,,,,,
35,36.046,21.903,1034,18.171,2.988571429,,,,,,
35,36.323,21.992,1034,18.143,3.78,,,,,,
35,34.947,21.288,1055,18.743,0.151428571,,,,,,
35,34.791,19.851,1050,19.143,0.597142857,,,,,,
35,35.941,22.097,1031,18.057,2.688571429,,,,,,
35,35.856,20.336,1034,18.686,2.445714286,,,,,,
35,35.494,21.889,1037,18.229,1.411428571,,,,,,
35,35.107,21.365,1050,18.629,0.305714286,,,,,,
35,35.605,21.903,1034,18.171,1.728571429,,,,,,
35,35.768,21.834,1036,18.229,2.194285714,,,,,,
35,33.908,20.698,1071,19.229,3.12,,,,,,
35,35.991,21.903,1034,18.171,2.831428571,,,,,,
35,35.936,21.903,1034,18.171,2.674285714,,,,,,
35,36,25.647,1031,17,2.857142857,,,,,,
35,35.439,21.889,1037,18.229,1.254285714,,,,,,
